3, 5, 22
3, 6, 18
3, 7, 22
3, 8, 16
3, 9, 22
4, 4, -1
4, 5, 20
4, 6, 23
4, 7, 22
4, 8, 18
4, 9, 14
5, 5, -1
5, 6, 25
5, 7, 24
5, 8, 24
5, 9, 15
6, 6, -1
6, 7, 13
6, 8, 21
6, 9, 6
7, 7, -1
7, 8, 9
7, 9, 22
8, 8, -1
8, 9, 25
9, 9, -1
0, 0, -1
0, 1, 15
0, 2, 1
0, 3, 23
0, 4, 4
0, 5, 15
0, 6, 20
0, 7, 3
0, 8, 7
0, 9, 11
1, 1, -1
1, 2, 5
1, 3, 17
1, 4, 18
1, 5, 17
1, 6, 23
1, 7, 1
1, 8, 2
1, 9, 17
2, 2, -1
2, 3, 16
2, 4, 18
2, 5, 1
2, 6, 23
2, 7, 19
2, 8, 13
2, 9, 8
3, 3, -1
3, 4, 16
3, 5, 16
3, 6, 10
3, 7, 9
3, 8, 8
3, 9, 2
4, 4, -1
4, 5, 18
4, 6, 16
4, 7, 16
4, 8, 3
4, 9, 12
5, 5, -1
5, 6, 21
5, 7, 19
5, 8, 3
5, 9, 10
6, 6, -1
6, 7, 7
6, 8, 4
6, 9, 23
7, 7, -1
7, 8, 10
7, 9, 9
8, 8, -1
8, 9, 23
9, 9, -1
0, 0, -1
0, 1, 24
0, 2, 12
0, 3, 15
0, 4, 4
0, 5, 14
0, 6, 2
0, 7, 16
0, 8, 7
0, 9, 17
1, 1, -1
1, 2, 13
1, 3, 2
1, 4, 9
1, 5, 3
1, 6, 18
1, 7, 24
1, 8, 1
1, 9, 19
2, 2, -1
2, 3, 10
2, 4, 13
2, 5, 17
2, 6, 8
2, 7, 3
2, 8, 6
2, 9, 18
3, 3, -1
3, 4, 16
3, 5, 18
3, 6, 6
3, 7, 5
3, 8, 5
3, 9, 5
4, 4, -1
4, 5, 2
4, 6, 5
4, 7, 9
4, 8, 3
4, 9, 1
5, 5, -1
5, 6, 22
5, 7, 7
5, 8, 10
5, 9, 23
6, 6, -1
6, 7, 25
6, 8, 11
6, 9, 5
7, 7, -1
7, 8, 2
7, 9, 20
8, 8, -1
8, 9, 5
9, 9, -1
0, 0, -1
0, 1, 7
0, 2, 10
0, 3, 19
0, 4, 21
0, 5, 6
0, 6, 6
0, 7, 3
0, 8, 7
0, 9, 23
1, 1, -1
1, 2, 2
1, 3, 23
1, 4, 17
1, 5, 8
1, 6, 6
1, 7, 19
1, 8, 13
1, 9, 11
2, 2, -1
2, 3, 17
2, 4, 13
2, 5, 19
2, 6, 1
2, 7, 19
2, 8, 19
2, 9, 11
3, 3, -1
3, 4, 23
3, 5, 18
3, 6, 1
3, 7, 1
3, 8, 12
3, 9, 20
4, 4, -1
4, 5, 5
4, 6, 10
4, 7, 2
4, 8, 12
4, 9, 22
5, 5, -1
5, 6, 23
5, 7, 18
5, 8, 17
5, 9, 21
6, 6, -1
6, 7, 4
6, 8, 11
6, 9, 22
7, 7, -1
7, 8, 16
7, 9, 6
8, 8, -1
8, 9, 5
9, 9, -1
0, 0, -1
0, 1, 8
0, 2, 7
0, 3, 20
0, 4, 17
0, 5, 19
0, 6, 3
0, 7, 15
0, 8, 3
0, 9, 15
1, 1, -1
1, 2, 4
1, 3, 14
1, 4, 4
1, 5, 8
1, 6, 7
1, 7, 11
1, 8, 5
1, 9, 13
2, 2, -1
2, 3, 17
2, 4, 22
2, 5, 21
2, 6, 4
2, 7, 25
2, 8, 19
2, 9, 13
3, 3, -1
3, 4, 15
3, 5, 22
3, 6, 11
3, 7, 22
3, 8, 20
3, 9, 4
4, 4, -1
4, 5, 11
4, 6, 15
4, 7, 23
4, 8, 15
4, 9, 6
5, 5, -1
5, 6, 11
5, 7, 19
5, 8, 3
5, 9, 13
6, 6, -1
6, 7, 22
6, 8, 17
6, 9, 10
7, 7, -1
7, 8, 11
7, 9, 24
8, 8, -1
8, 9, 16
9, 9, -1
0, 0, -1
0, 1, 13
0, 2, 16
0, 3, 25
0, 4, 5
0, 5, 7
0, 6, 24
0, 7, 12
0, 8, 25
0, 9, 8
1, 1, -1
1, 2, 24
1, 3, 3
1, 4, 11
1, 5, 7
1, 6, 7
1, 7, 20
1, 8, 6
1, 9, 24
2, 2, -1
2, 3, 24
2, 4, 15
2, 5, 17
2, 6, 20
2, 7, 6
2, 8, 12
2, 9, 12
3, 3, -1
3, 4, 15
3, 5, 12
3, 6, 22
3, 7, 18
3, 8, 12
3, 9, 11
4, 4, -1
4, 5, 17
4, 6, 17
4, 7, 15
4, 8, 4
4, 9, 9
5, 5, -1
5, 6, 14
5, 7, 13
5, 8, 19
5, 9, 18
6, 6, -1
6, 7, 13
6, 8, 1
6, 9, 17
7, 7, -1
7, 8, 13
7, 9, 4
8, 8, -1
8, 9, 1
9, 9, -1
0, 0, -1
0, 1, 17
0, 2, 17
0, 3, 4
0, 4, 18
0, 5, 12
0, 6, 15
0, 7, 7
0, 8, 16
0, 9, 5
1, 1, -1
1, 2, 13
1, 3, 7
1, 4, 25
1, 5, 15
1, 6, 4
1, 7, 21
1, 8, 17
1, 9, 19
2, 2, -1
2, 3, 24
2, 4, 23
2, 5, 2
2, 6, 20
2, 7, 2
2, 8, 8
2, 9, 24
3, 3, -1
3, 4, 6
3, 5, 25
3, 6, 13
3, 7, 23
3, 8, 3
3, 9, 6
4, 4, -1
4, 5, 7
4, 6, 14
4, 7, 1
4, 8, 21
4, 9, 3
5, 5, -1
5, 6, 14
5, 7, 14
5, 8, 22
5, 9, 4
6, 6, -1
6, 7, 2
6, 8, 12
6, 9, 22
7, 7, -1
7, 8, 16
7, 9, 19
8, 8, -1
8, 9, 6
9, 9, -1
0, 0, -1
0, 1, 15
0, 2, 9
0, 3, 13
0, 4, 13
0, 5, 18
0, 6, 15
0, 7, 21
0, 8, 16
0, 9, 4
1, 1, -1
1, 2, 20
1, 3, 16
1, 4, 7
1, 5, 17
1, 6, 4
1, 7, 17
1, 8, 2
1, 9, 25
2, 2, -1
2, 3, 3
2, 4, 10
2, 5, 7
2, 6, 22
2, 7, 19
2, 8, 4
2, 9, 12
3, 3, -1
3, 4, 6
3, 5, 16
3, 6, 10
3, 7, 11
3, 8, 16
3, 9, 22
4, 4, -1
4, 5, 23
4, 6, 24
4, 7, 9
4, 8, 8
4, 9, 19
5, 5, -1
5, 6, 3
5, 7, 22
5, 8, 15
5, 9, 20
6, 6, -1
6, 7, 10
6, 8, 18
6, 9, 18
7, 7, -1
7, 8, 17
7, 9, 20
8, 8, -1
8, 9, 10
9, 9, -1
